Cenários,Beta,Erro padrão,p-value
1,"0,26","0,55","0,63"
2,"0,23","0,55","0,67"
3,"0,31","0,43","0,49"
4,"0,27","0,34","0,42"
5,"0,52","1,12","0,64"
