Indicadores de pressão,Beta,Erro padrão,p-value,x,Cenários,Beta,Erro padrão,p-value
Intercepto,"-1,80","0,12","<0,01",x,x,x,x,x
Agricultura,"0,06","0,44","0,89",x,1,"-0,30","0,82","0,71"
Espelhos d'água,"39,06","11,95","0,20",x,2,"-0,29","0,81","0,72"
Gado,"0,17","0,42","0,68",x,3,"-0,56","0,66","0,39"
Rede viária,"-0,45","0,51","0,38",x,4,"-0,62","0,52","0,23"
Mineração,"-218,27","155,54","0,16",x,5,"-0,70","1,65","0,67"
Áreas urbanas,"-27,20","59,66","0,64",x,x,x,x,x
