Indicadores de pressão,Beta,Erro padrão,pvalue
Intercepto,"-0,48","0,07","<0,01"
Agricultura,"0,13","0,30","0,65"
Espelhos d'água,"-18,13","10,28","0,12"
Gado,"-0,30","0,29","0,30"
Rede viária,"0,41","0,34","0,23"
Mineração,"-8,49","87,54","0,92"
Áreas urbanas,"-26,91","41,35","0,52"
