Indicadores de pressão,Beta,Erro padrão,p-value,x,Cenários,Beta,Erro padrão,p-value
Intercepto,"-0,48","0,07","<0,01",x,x,x,x,x
Agricultura,"0,13","0,30","0,65",x,1,"0,26","0,55","0,63"
Espelhos d'água,"-18,13","10,28","0,12",x,2,"0,23","0,55","0,67"
Gado,"-0,30","0,29","0,30",x,3,"0,31","0,43","0,49"
Rede viária,"0,41","0,34","0,23",x,4,"0,27","0,34","0,42"
Mineração,"-8,49","87,54","0,92",x,5,"0,52","1,12","0,64"
Áreas urbanas,"-26,91","41,35","0,52",x,x,x,x,x
